year,state,category,count_thousands
1973,NSW,CATTLE,2071.2
1973,VIC,CATTLE,1955.2
1973,QLD,CATTLE,1675.6
1973,SA,CATTLE,336.9
1973,WA,CATTLE,462.9
1973,TAS,CATTLE,234.8
1973,NSW,CALVES,278.1
1973,VIC,CALVES,743.7
1973,QLD,CALVES,328.7
1973,SA,CALVES,55.6
1973,WA,CALVES,15.2
1973,TAS,CALVES,25.9
1973,NSW,SHEEP,6356.7
1973,VIC,SHEEP,8612.4
1973,QLD,SHEEP,1712.7
1973,SA,SHEEP,2397.1
1973,WA,SHEEP,4229.4
1973,TAS,SHEEP,636.5
1973,NSW,LAMBS,6240.8
1973,VIC,LAMBS,6717.2
1973,QLD,LAMBS,739.6
1973,SA,LAMBS,2141.4
1973,WA,LAMBS,1318.6
1973,TAS,LAMBS,641.7
1973,NSW,PIGS,1323.7
1973,VIC,PIGS,1210.3
1973,QLD,PIGS,964.4
1973,SA,PIGS,527.0
1973,WA,PIGS,537.5
1973,TAS,PIGS,152.0
1974,NSW,CATTLE,1716.0
1974,VIC,CATTLE,1749.4
1974,QLD,CATTLE,1487.4
1974,SA,CATTLE,316.2
1974,WA,CATTLE,477.5
1974,TAS,CATTLE,229.8
1974,NSW,CALVES,208.6
1974,VIC,CALVES,652.9
1974,QLD,CALVES,252.7
1974,SA,CALVES,43.0
1974,WA,CALVES,9.5
1974,TAS,CALVES,29.6
1974,NSW,SHEEP,2748.1
1974,VIC,SHEEP,3587.6
1974,QLD,SHEEP,919.9
1974,SA,SHEEP,1138.5
1974,WA,SHEEP,2570.9
1974,TAS,SHEEP,335.6
1974,NSW,LAMBS,4960.5
1974,VIC,LAMBS,5317.1
1974,QLD,LAMBS,400.7
1974,SA,LAMBS,1456.3
1974,WA,LAMBS,1185.4
1974,TAS,LAMBS,489.7
1974,NSW,PIGS,1166.2
1974,VIC,PIGS,1081.3
1974,QLD,PIGS,828.8
1974,SA,PIGS,447.9
1974,WA,PIGS,496.6
1974,TAS,PIGS,115.6
1975,NSW,CATTLE,2084.1
1975,VIC,CATTLE,1863.2
1975,QLD,CATTLE,1739.9
1975,SA,CATTLE,388.9
1975,WA,CATTLE,525.6
1975,TAS,CATTLE,224.7
1975,NSW,CALVES,304.7
1975,VIC,CALVES,790.5
1975,QLD,CALVES,306.4
1975,SA,CALVES,76.0
1975,WA,CALVES,15.1
1975,TAS,CALVES,37.5
1975,NSW,SHEEP,2944.2
1975,VIC,SHEEP,4495.6
1975,QLD,SHEEP,765.2
1975,SA,SHEEP,1133.9
1975,WA,SHEEP,2978.4
1975,TAS,SHEEP,402.8
1975,NSW,LAMBS,5850.7
1975,VIC,LAMBS,5739.9
1975,QLD,LAMBS,514.1
1975,SA,LAMBS,1850.3
1975,WA,LAMBS,1329.4
1975,TAS,LAMBS,577.1
1975,NSW,PIGS,978.8
1975,VIC,PIGS,975.7
1975,QLD,PIGS,633.5
1975,SA,PIGS,343.5
1975,WA,PIGS,389.3
1975,TAS,PIGS,101.4
1976,NSW,CATTLE,2599.8
1976,VIC,CATTLE,2227.5
1976,QLD,CATTLE,2084.7
1976,SA,CATTLE,470.3
1976,WA,CATTLE,745.7
1976,TAS,CATTLE,283.5
1976,NSW,CALVES,402.2
1976,VIC,CALVES,1070.1
1976,QLD,CALVES,436.7
1976,SA,CALVES,78.8
1976,WA,CALVES,45.5
1976,TAS,CALVES,64.5
1976,NSW,SHEEP,3695.2
1976,VIC,SHEEP,5677.0
1976,QLD,SHEEP,863.8
1976,SA,SHEEP,1803.8
1976,WA,SHEEP,4283.8
1976,TAS,SHEEP,454.9
1976,NSW,LAMBS,5515.8
1976,VIC,LAMBS,5696.1
1976,QLD,LAMBS,536.3
1976,SA,LAMBS,1757.5
1976,WA,LAMBS,1744.1
1976,TAS,LAMBS,613.6
1976,NSW,PIGS,927.8
1976,VIC,PIGS,882.0
1976,QLD,PIGS,667.3
1976,SA,PIGS,341.9
1976,WA,PIGS,352.6
1976,TAS,PIGS,94.1
1977,NSW,BULLS_BULLOCKS_STEERS,1446.3
1977,VIC,BULLS_BULLOCKS_STEERS,1178.7
1977,QLD,BULLS_BULLOCKS_STEERS,1213.6
1977,SA,BULLS_BULLOCKS_STEERS,267.7
1977,WA,BULLS_BULLOCKS_STEERS,454.3
1977,TAS,BULLS_BULLOCKS_STEERS,144.9
1977,NSW,COWS_HEIFERS,1549.5
1977,VIC,COWS_HEIFERS,1181.8
1977,QLD,COWS_HEIFERS,1103.2
1977,SA,COWS_HEIFERS,311.5
1977,WA,COWS_HEIFERS,390.5
1977,TAS,COWS_HEIFERS,139.9
1977,NSW,CATTLE,2995.8
1977,VIC,CATTLE,2360.6
1977,QLD,CATTLE,2316.8
1977,SA,CATTLE,579.2
1977,WA,CATTLE,844.8
1977,TAS,CATTLE,284.8
1977,NSW,CALVES,503.3
1977,VIC,CALVES,1233.6
1977,QLD,CALVES,512.7
1977,SA,CALVES,76.7
1977,WA,CALVES,70.4
1977,TAS,CALVES,72.9
1977,NSW,SHEEP,4057.9
1977,VIC,SHEEP,4922.1
1977,QLD,SHEEP,858.8
1977,SA,SHEEP,1969.6
1977,WA,SHEEP,4046.6
1977,TAS,SHEEP,469.1
1977,NSW,LAMBS,5120.0
1977,VIC,LAMBS,5549.5
1977,QLD,LAMBS,647.6
1977,SA,LAMBS,1457.1
1977,WA,LAMBS,1830.8
1977,TAS,LAMBS,523.5
1977,NSW,PIGS,1024.1
1977,VIC,PIGS,934.8
1977,QLD,PIGS,702.9
1977,SA,PIGS,344.2
1977,WA,PIGS,343.3
1977,TAS,PIGS,99.6
1978,NSW,BULLS_BULLOCKS_STEERS,1541.8
1978,VIC,BULLS_BULLOCKS_STEERS,1382.9
1978,QLD,BULLS_BULLOCKS_STEERS,1395.9
1978,SA,BULLS_BULLOCKS_STEERS,279.5
1978,WA,BULLS_BULLOCKS_STEERS,411.4
1978,TAS,BULLS_BULLOCKS_STEERS,161.0
1978,NSW,COWS_HEIFERS,1746.6
1978,VIC,COWS_HEIFERS,1300.8
1978,QLD,COWS_HEIFERS,1191.8
1978,SA,COWS_HEIFERS,364.5
1978,WA,COWS_HEIFERS,366.2
1978,TAS,COWS_HEIFERS,132.8
1978,NSW,CATTLE,3288.4
1978,VIC,CATTLE,2683.8
1978,QLD,CATTLE,2587.7
1978,SA,CATTLE,644.0
1978,WA,CATTLE,777.5
1978,TAS,CATTLE,293.8
1978,NSW,CALVES,552.7
1978,VIC,CALVES,1172.2
1978,QLD,CALVES,560.3
1978,SA,CALVES,100.4
1978,WA,CALVES,66.9
1978,TAS,CALVES,68.7
1978,NSW,SHEEP,3972.2
1978,VIC,SHEEP,4247.3
1978,QLD,SHEEP,829.4
1978,SA,SHEEP,1734.8
1978,WA,SHEEP,2597.6
1978,TAS,SHEEP,386.8
1978,NSW,LAMBS,5157.2
1978,VIC,LAMBS,5731.1
1978,QLD,LAMBS,650.2
1978,SA,LAMBS,1505.0
1978,WA,LAMBS,1485.1
1978,TAS,LAMBS,650.1
1978,NSW,PIGS,1105.2
1978,VIC,PIGS,1016.9
1978,QLD,PIGS,747.0
1978,SA,PIGS,376.3
1978,WA,PIGS,321.4
1978,TAS,PIGS,92.5
1979,NSW,BULLS_BULLOCKS_STEERS,1424.8
1979,VIC,BULLS_BULLOCKS_STEERS,1081.8
1979,QLD,BULLS_BULLOCKS_STEERS,1544.3
1979,SA,BULLS_BULLOCKS_STEERS,278.9
1979,WA,BULLS_BULLOCKS_STEERS,408.2
1979,TAS,BULLS_BULLOCKS_STEERS,123.6
1979,NSW,COWS_HEIFERS,1472.8
1979,VIC,COWS_HEIFERS,941.5
1979,QLD,COWS_HEIFERS,1389.8
1979,SA,COWS_HEIFERS,288.8
1979,WA,COWS_HEIFERS,297.3
1979,TAS,COWS_HEIFERS,103.2
1979,NSW,CATTLE,2897.6
1979,VIC,CATTLE,2023.3
1979,QLD,CATTLE,2934.2
1979,SA,CATTLE,567.7
1979,WA,CATTLE,705.5
1979,TAS,CATTLE,226.7
1979,NSW,CALVES,358.7
1979,VIC,CALVES,905.1
1979,QLD,CALVES,361.7
1979,SA,CALVES,90.8
1979,WA,CALVES,40.9
1979,TAS,CALVES,54.5
1979,NSW,SHEEP,3470.0
1979,VIC,SHEEP,3878.5
1979,QLD,SHEEP,863.4
1979,SA,SHEEP,1021.9
1979,WA,SHEEP,2394.5
1979,TAS,SHEEP,345.4
1979,NSW,LAMBS,5283.1
1979,VIC,LAMBS,5398.9
1979,QLD,LAMBS,578.8
1979,SA,LAMBS,1501.1
1979,WA,LAMBS,1382.1
1979,TAS,LAMBS,502.9
1979,NSW,PIGS,1059.3
1979,VIC,PIGS,961.1
1979,QLD,PIGS,721.0
1979,SA,PIGS,402.3
1979,WA,PIGS,327.2
1979,TAS,PIGS,90.5
1980,NSW,BULLS_BULLOCKS_STEERS,1124.2
1980,VIC,BULLS_BULLOCKS_STEERS,760.5
1980,QLD,BULLS_BULLOCKS_STEERS,1313.5
1980,SA,BULLS_BULLOCKS_STEERS,214.3
1980,WA,BULLS_BULLOCKS_STEERS,348.9
1980,TAS,BULLS_BULLOCKS_STEERS,95.6
1980,NSW,COWS_HEIFERS,1038.9
1980,VIC,COWS_HEIFERS,713.2
1980,QLD,COWS_HEIFERS,963.9
1980,SA,COWS_HEIFERS,223.7
1980,WA,COWS_HEIFERS,234.6
1980,TAS,COWS_HEIFERS,83.0
1980,NSW,CATTLE,2163.1
1980,VIC,CATTLE,1473.7
1980,QLD,CATTLE,2277.5
1980,SA,CATTLE,438.0
1980,WA,CATTLE,583.5
1980,TAS,CATTLE,178.6
1980,NSW,CALVES,310.5
1980,VIC,CALVES,763.0
1980,QLD,CALVES,328.0
1980,SA,CALVES,63.7
1980,WA,CALVES,26.8
1980,TAS,CALVES,39.5
1980,NSW,SHEEP,4017.9
1980,VIC,SHEEP,4386.3
1980,QLD,SHEEP,798.4
1980,SA,SHEEP,1666.0
1980,WA,SHEEP,2857.0
1980,TAS,SHEEP,316.9
1980,NSW,LAMBS,5716.6
1980,VIC,LAMBS,5945.0
1980,QLD,LAMBS,579.9
1980,SA,LAMBS,1785.0
